Entertainer,Gender,Year of Last Major Work (arguable),Year of Death,Birth Year,Year of Breakthrough/#1 Hit/Award Nomination,Breakthrough Name,Year of First Oscar/Grammy/Emmy,Breakthrough Age
Adele,F,2016,,1988,2008,19,2009,20
Angelina Jolie,F,2016,,1975,1999,"Girl, Interrupted",1999,24
Aretha Franklin,F,2014,,1942,1967,I Never Loved a Man (The Way I Love You),1968,25
Bette Davis,F,1989,1989,1908,1934,Of Human Bondage,1935,26
Betty White,F,2016,,1922,1952,Life with Elilzabeth,1976,30
Bing Crosby,M,1974,1977,1903,1931,Several Songs,1962,28
Bob Hope,M,1972,2003,1903,1938,The Big Broadcast of 1938,1940,35
Carol Burnett,F,2016,,1933,1959,The Garry Moore Show,1962,26
Carole Lombard,F,1942,1942,1908,1934,Twentieth Century,0,26
Carrie Fisher,F,2016,2016,1956,1977,Star Wars,0,21
Cary Grant,M,1966,1986,1904,1933,"She Done Him Wrong, I'm No Angel",1970,29
Charlie Chaplin,M,1967,1977,1889,1915,The Tramp,1929,26
Clara Bow,F,1933,1965,1905,1926,Mantrap,0,21
Clark Gable,M,1960,1960,1901,1934,It Happened One Night,1934,33
David Letterman,M,2015,,1947,1982,Late Night with David Letterman,1981,35
Debbie Reynolds,F,2006,2016,1932,1952,Singin' in the Rain,0,20
Denzel Washington,M,2016,,1954,1989,Glory,1989,35
Dick Van Dyke,M,2015,,1925,1961,"Bye Bye Birdie, The Dick Van Dyke Show",1964,36
Donald Sutherland,M,2016,,1935,1967,The Dirty Dozen,1995,32
Dustin Hoffman,M,2016,,1937,1967,The Graduate,1980,30
Ed Sullivan,M,1973,1974,1901,1948,Toast of the Town,1956,47
Eddie Murphy,M,2016,,1961,1980,Saturday Night Live,2001,19
Elton John,M,2016,,1947,1972,Honky Chateau,1987,25
Elvis Presley,M,1977,1977,1935,1956,Heartbreak Hotel,1959,21
Frank Sinatra,M,1980,1998,1915,1940,I'll Never Smile Again,1946,25
Gene Hackman,M,2004,,1930,1967,Bonnie and Clyde,1971,37
George Michael,M,2004,2016,1963,1984,Wake Me Up Before You Go-Go,1988,21
Gregory Peck,M,1991,2003,1916,1944,The Keys of the Kingdom,1962,28
Greta Garbo,F,1941,1990,1905,1930,Anna Christie,1954,25
Humphrey Bogart,M,1956,1957,1899,1936,The Petrified Forest,1951,37
James Dean,M,1955,1955,1931,1953,East of Eden,1955,22
Jay Leno,M,2014,,1950,1992,The Tonight Show,1995,42
Jennifer Aniston,F,2016,,1969,1994,Friends,2002,25
Jerry Seinfeld,M,2016,,1954,1988,Seinfeld,1992,34
Jimmy Page,M,2016,,1944,1969,Led Zeppelin 2,1999,25
Jimmy Stewart,M,1980,1997,1908,1938,You Can't Take it With You,1941,30
Joan Crawford,F,1970,1977,1904,1928,Our Dancing Daughters,1946,24
John Lennon,M,1980,1980,1940,1963,I Want to Hold Your Hand,1965,23
John Wayne,M,1976,1979,1907,1939,Stagecoach,1970,32
Johnny Carson,M,1992,2005,1925,1962,The Tonight Show Starring Johnny Carson,1976,37
Johnny Depp,M,2016,,1963,1987,21 Jump Street,0,24
Justin Timberlake,M,2016,,1981,2000,No Strings Attached,2004,19
Katherine Hepburn,F,1994,2003,1907,1933,Morning Glory,1933,26
Keifer Sutherland,M,2016,,1966,2001,24,2006,35
Kirk Douglas,M,2004,,1916,1949,Champion,1996,33
Lady Gaga,F,2016,,1986,2008,The Fame,2010,22
Leonard Bernstein,M,1989,1990,1918,1957,West Side Story,1962,39
Leonardo DiCaprio,M,2016,,1974,1997,Titanic,2016,23
Louis Armstrong,M,1970,1971,1901,1964,"Hello, Dolly!",1993,63
Madonna,F,2015,,1958,1984,Like A Virgin,1992,26
Mariah Carey,F,2014,,1969,1990,Mariah Carey,1991,21
Marlon Brando,M,2001,2004,1924,1951,Streetcar Named Desire,1953,27
Mary Tyler Moore,F,2013,,1936,1961,The Dick Van Dyke Show,1964,25
Meryl Streep,F,2016,,1949,1978,The Deer Hunter,1980,29
Mick Jagger,M,2016,,1943,1965,(I Can't Get No) Satisfaction,1987,22
Morgan Freeman,M,2016,,1937,1989,Driving Miss Daisy and Glory,2005,52
Oprah Winfrey,F,2016,,1954,1985,The Color Purple,1987,31
Paul McCartney,M,2016,,1942,1963,I Want to Hold Your Hand,1965,21
Paul Newman,M,2005,2008,1925,1958,Cat on a Hot Tin Roof,1986,33
Peter O'Toole,M,2013,2013,1932,1962,Lawrence of Arabia,2002,30
Prince,M,2016,2016,1958,1979,Prince,1984,21
Robert Redford,M,2016,,1936,1969,Butch Cassidy and the Sundance Kid,1980,33
Sidney Poitier,M,2008,,1927,1955,Blackboard Jungle,1964,28
Sly Stone,M,1971,,1943,1968,Everyday People,2017,25
Stevie Wonder,M,2005,,1950,1963,Fingertips,1973,13
Tom Hanks,M,2016,,1956,1984,Splash,1993,28
Tony Bennett,M,2016,,1926,1951,Because of You,1963,25
Wayne Newton,M,2016,,1942,1972,"Daddy, Don't You Walk So Fast",0,30
Will Smith,M,2016,,1968,1990,The Fresh Prince of Bel-Air,1988,22
Willie Nelson,M,2016,,1933,1975,Red Headed Stranger,1976,42
